REA_Identi,LOTLOTE_ID,TIPO_LOTE,CHIP_RAW,CHIP_FORMATO,CHIP_VALIDADO,CHIP_ASIGNADO,CHIP_USO,CASO_CHIP,CHIP_ALERTA,PCT_GEO,MEJORA,MOTIVO_MEJORA,MATRICULA_INMO,DIRECCION_CATASTRAL,VALOR_TERRENO,VALOR_CONSTRUCCION,VALOR_AVALUO_TOTAL,ESTADO_DEPURADO,LAT_WGS84,LON_WGS84,GMAPS_URL
2014-Q20-01217,1318058014,Univoco,AAA0004HPCX,AAA0004HPCX,AAA0004HPCX,,AAA0004HPCX,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40247522,CL 46D SUR 16C 23 ESTE,183799.48,0.0,30363674.096,Reasentamiento Terminado,4.537616,-74.081239,"https://www.google.com/maps?q=4.537616,-74.081239"
2015-Q20-01341,1318004018,Univoco,AAA0004HNTO,AAA0004HNTO,AAA0004HNTO,,AAA0004HNTO,CASO2_EXACTO_GEO_OK,,100.0,No,,050S00735400,CL 46G SUR 16C 76 ESTE IN 4,182500.0,652631.05,54764206.745,Reasentamiento Terminado,4.537172,-74.081043,"https://www.google.com/maps?q=4.537172,-74.081043"
2007-4-9333,1318024004,Univoco,AAA0004JXPP,AAA0004JXPP,AAA0004JXPP,,AAA0004JXPP,CASO2_EXACTO_GEO_OK,,100.0,No,,050S00752233,KR 17 ESTE 46H 52 SUR,166353.26,475549.77,81109769.744,Reasentamiento Terminado,4.535819,-74.081288,"https://www.google.com/maps?q=4.535819,-74.081288"
2015-Q20-04070,1318022024,Univoco,AAA0004JUDE,AAA0004JUDE,AAA0004JUDE,,AAA0004JUDE,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091255,CL 46A BIS B SUR 16B 07 ESTE,168600.0,471432.6,38237116.44,En Proceso,4.540106,-74.080854,"https://www.google.com/maps?q=4.540106,-74.080854"
2014-Q20-01195,1318018006,Univoco,AAA0004JLOE,AAA0004JLOE,AAA0004JLOE,,AAA0004JLOE,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091173,CL 46B SUR 16 58 ESTE,182500.0,292649.02,28381155.061,En Proceso,4.539809,-74.082046,"https://www.google.com/maps?q=4.539809,-74.082046"
1997-4-531,1318065022,Univoco,NO REGISTRA,,,AAA0004JXEA,AAA0004JXEA,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050S40091234,CL 46A BIS B SUR 16A 54 ESTE,138700.0,0.0,8753357.0,Adquisicion predial por IDIGER,4.540254,-74.08099,"https://www.google.com/maps?q=4.540254,-74.08099"
2015-Q20-04081,1318022038,Univoco,AAA0004JUWW,AAA0004JUWW,AAA0004JUWW,,AAA0004JUWW,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091269,CL 46A BIS B SUR 16B 75 ESTE,181997.93,328494.22,40829373.273,En Proceso,4.540071,-74.080114,"https://www.google.com/maps?q=4.540071,-74.080114"
2014-Q20-01266,1318018016,Univoco,AAA0004JMCN,AAA0004JMCN,AAA0004JMCN,,AAA0004JMCN,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091183,CL 46B SUR 16 16 ESTE,182500.0,328494.22,32440852.044,Cierre Administrativo Sin Reasentamiento,4.539756,-74.082505,"https://www.google.com/maps?q=4.539756,-74.082505"
2015-Q20-04082,1318022038,Univoco,AAA0004JUWW,AAA0004JUWW,AAA0004JUWW,,AAA0004JUWW,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091269,CL 46A BIS B SUR 16B 75 ESTE,181997.93,328494.22,40829373.273,En Proceso,4.540076,-74.080145,"https://www.google.com/maps?q=4.540076,-74.080145"
1997-4-938,1318064031,Univoco,NO REGISTRA,,,AAA0004JMWW,AAA0004JMWW,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050S40091134,CL 46B SUR 15 14 ESTE,182500.0,0.0,15257000.0,Adquisicion predial por IDIGER,4.539729,-74.083209,"https://www.google.com/maps?q=4.539729,-74.083209"
2015-Q20-04138,1318064027,Univoco,AAA0004JMRJ,AAA0004JMRJ,AAA0004JMRJ,,AAA0004JMRJ,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091152,CL 46B SUR 15 30 ESTE,182500.0,556970.37,82001297.36,En Proceso,4.539717,-74.083034,"https://www.google.com/maps?q=4.539717,-74.083034"
2015-Q20-04066,1318018005,Univoco,AAA0004JLNN,AAA0004JLNN,AAA0004JLNN,,AAA0004JLNN,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091172,CL 46B SUR 16 62 ESTE,185511.5,330105.74,35474189.374,En Proceso,4.539812,-74.082001,"https://www.google.com/maps?q=4.539812,-74.082001"
1997-4-539,1318020013,Univoco,NO REGISTRA,,,AAA0004JPWF,AAA0004JPWF,CASO9_SIN_CHIP_GEO_98,,98.1,No,,050S40091216,CL 46A BIS C SUR 16A 04 ESTE,182500.0,0.0,16370250.0,Adquisicion predial por IDIGER,4.540078,-74.081559,"https://www.google.com/maps?q=4.540078,-74.081559"
1997-4-518,1318064035,Univoco,NO REGISTRA,,,AAA0004JNAF,AAA0004JNAF,CASO9_SIN_CHIP_GEO_98,,99.8,No,,050S40091138,CL 46B SUR 15 74 ESTE IN 7,14950.0,0.0,923910.0,Adquisicion predial por IDIGER,4.539835,-74.082993,"https://www.google.com/maps?q=4.539835,-74.082993"
2015-Q20-04073,1318022027,Univoco,AAA0004JUHK,AAA0004JUHK,AAA0004JUHK,,AAA0004JUHK,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091259,CL 46A BIS B SUR 16B 27 ESTE,168600.0,248100.0,17388192.0,En Proceso,4.540112,-74.080613,"https://www.google.com/maps?q=4.540112,-74.080613"
2015-Q20-01388,1318022041,Univoco,AAA0004JUZE,AAA0004JUZE,AAA0004JUZE,,AAA0004JUZE,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091272,CL 46A BIS B SUR 16B 89 ESTE,178736.85,333511.53,42977639.082,Reasentamiento Terminado,4.540044,-74.079971,"https://www.google.com/maps?q=4.540044,-74.079971"
1997-4-555,1318023009,Univoco,NO REGISTRA,,,,,CASO10_GEO_PARCIAL_50_98,,97.4,,,,,,,,Adquisicion predial por IDIGER,4.540289,-74.080208,"https://www.google.com/maps?q=4.540289,-74.080208"
1997-4-550,1318023012,Univoco,NO REGISTRA,,,,,CASO10_GEO_PARCIAL_50_98,,97.9,,,,,,,,Adquisicion predial por IDIGER,4.540261,-74.08036,"https://www.google.com/maps?q=4.540261,-74.08036"
